Move:  Attack Order | BUG | EOT 0 | 2 | DB9 | PHYSICAL |  6, 1 Target |  Attack Order is a Critical Hit on 18+. |
Move:  Thunder | ELECTRIC | SCENE 2 | 7 | DB11 | SPECIAL |  12, 1 Target, Smite |  Thunder Paralyzes its target on 15+. If the target is in Sunny Weather, Thunder’s Accuracy Check is 11. If the target is in Rainy Weather, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss. |
Move:  Thunderbolt | ELECTRIC | EOT 0 | 2 | DB9 | SPECIAL |  4, 1 Target |  Thunder Paralyzes its target on 19+. |
Move:  Thunder Fang | ELECTRIC | AW 0 | 3 | DB7 | PHYSICAL |  Melee, 1 Target |  Thunder Fang Paralyzes or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Paralyzed or Flinches. On 20 during Accuracy Check, the foe is Paralyzed and Flinched. |
Move:  Thunder Punch | ELECTRIC | AW 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Thunder Punch Paralyzes the target on 19+ |
Move:  Thunder Shock | ELECTRIC | AW 0 | 2 | DB4 | SPECIAL |  4, 1 Target |  Thunder Shock Paralyzes the target on 17+. |
Move:  Thunder Wave | ELECTRIC | SCENE 2 | 4 | NON | STATUS |  6, 1 Target |  Thunder Wave Paralyzes the target. Targets immune to Electric Attacks are immune to Thunder Wave’s effects. |
Move:  Volt Switch | ELECTRIC | AW 0 | 2 | DB7 | SPECIAL |  5, 1 Target |  If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using Volt Switch lets a Trapped user be recalled. |
Move:  Volt Tackle | ELECTRIC | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Recoil 1/3 |  Volt Tackle Paralyzes the target on 19+. |
Move:  Wild Charge | ELECTRIC | AW 0 | 2 | DB9 | PHYSICAL |  Melee, 1 Target, Dash, Recoil 1/4 |  None |
Move:  Zap Cannon | ELECTRIC | AW 0 | 9 | DB12 | SPECIAL |  12, 1 Target |  Zap Cannon Paralyzes the target. Zap Cannon ignores the target’s Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target. |
Move:  Zing Zap | ELECTRIC | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Zing Zap Flinches the target on 15+. |
Move:  Aromatic Mist | FAIRY | EOT 0 | 0 | NON | STATUS |  Burst 1 |  All allies in Aromatic Mist’s area of effect have their Special Defense raised 1 Combat Stage. |
Move:  Baby-Doll Eyes | FAIRY | EOT 0 | 2 | NON | STATUS |  4, 1 Target, Priority, Social |  The target’s Attack is lowered 1 Combat Stage. |
Move:  Charm | FAIRY | EOT 0 | 2 | NON | STATUS |  6, 1 Target, Social |  Charm lowers the target’s Attack 2 Combat Stages. |
Move:  Crafty Shield | FAIRY | SCENE 0 | 0 | NON | STATUS |  Burst 2, Interrupt, Shield, Trigger |  If the user or an Ally within 2 meters of Crafty Shield’s user is hit by a Status Move, you may use Crafty Shield as an Interrupt. All targets in Crafty Shield’s areaof-effect including the user, are instead not hit by the triggering Move and do not suffer any of its effects. |
Move:  Dazzling Gleam | FAIRY | EOT 0 | 2 | DB8 | SPECIAL |  Cone 2 |  None |
Move:  Disarming Voice | FAIRY | AW 0 | 0 | DB4 | SPECIAL |  Burst 1, Sonic |  Disarming Voice cannot miss. |
Move:  Draining Kiss | FAIRY | EOT 0 | 2 | DB5 | SPECIAL |  Melee, 1 Target |  After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. |
Move:  Fairy Lock | FAIRY | SCENE 0 | 0 | NON | STATUS |  Burst 3, Friendly |  All legal targets become Trapped and Slowed while the user remains in the encounter. This effect ends if the user switches or is Fainted. |
Move:  Fairy Wind | FAIRY | AW 0 | 2 | DB4 | SPECIAL |  6, 1 Target |  None |
Move:  Fleur Cannon | FAIRY | SCENE 0 | 4 | DB13 | SPECIAL |  Line 9, Smite |  Lower the user’s Special Attack 2 Combat Stages after damage. |
Move:  Floral Healing | FAIRY | DAILY 2 | 0 | NON | STATUS |  Melee, 1 Target, Healing |  The target regains Hit Points equal to half of its full Hit Point value. If the field is Grassy Terrain, the target gains 2/3 of its full Hit Point value instead. |
Move:  Flower Shield | FAIRY | SCENE 0 | 0 | NON | STATUS |  Burst 2 |  All Grass Type Pokémon in Flower Shield’s area of effect have their Defense raised by +2 Combat Stages. |
Move:  Geomancy | FAIRY | SCENE 0 | 0 | NON | STATUS |  Self, Set-Up |  Setup:The user may not shift this round. The user may create as many squares of Rough Terrain as it wants within a Burst 3 as plants burst through the ground, regardless of the surface material.->The user raises its Special Attack, Special Defense, and Speed by 2 Combat Stages each. |
Move:  Light of Ruin | FAIRY | SCENE 0 | 4 | DB14 | SPECIAL |  8, Ranged Blast 3, Smite, Recoil 1/2 |  None |
Move:  Misty Terrain | FAIRY | DAILY 2 | 0 | NON | STATUS |  Field |  The area becomes Misty for 5 turns. While Misty, all Pokémon and Trainers standing on the ground ignore the first turn of all Status Afflictions, and Dragon-type attacks targeting or originating from a grounded Pokémon or Trainer take a -10 Penalty to Damage Rolls. |
Move:  Moonblast | FAIRY | EOT 0 | 2 | DB10 | SPECIAL |  6, 1 Target |  Moonblast lowers the target’s Special Attack by 1 Combat Stage on 15+. |
Move:  Moonlight | FAIRY | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value. |
Move:  Nature’s Madness | FAIRY | SCENE 0 | 4 | NON | SPECIAL |  4, 1 Target |  The target loses 1/2 of their current Hit Points. |
Move:  Play Rough | FAIRY | EOT 0 | 4 | DB9 | PHYSICAL |  Melee, 1 Target |  Play Rough lowers the target’s Attack by 1 Combat Stage on 17+. |
Move:  Sweet Kiss | FAIRY | SCENE 2 | 6 | NON | STATUS |  6, 1 Target, Social |  The target becomes Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round. |
Move:  Arm Thrust | FIGHTING | EOT 0 | 4 | DB2 | PHYSICAL |  Melee, 1 Target, Five Strike |  None |
Move:  Aura Sphere | FIGHTING | EOT 0 | 0 | DB8 | SPECIAL |  8, 1 Target, Aura |  Aura Sphere cannot miss. |
Move:  Brick Break | FIGHTING | AW 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Light Screen, Reflect, and Aurora Veil may not be activated in response to Brick Break. |
Move:  Bulk Up | FIGHTING | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 1 Combat Stage and raise the user’s Defense 1 Combat Stage. |
Move:  Circle Throw | FIGHTING | AW 0 | 4 | DB6 | PHYSICAL |  Melee, 1 Target, Push |  The target is Pushed 6 meters minus their Weight Class. On 15+, the target is also Tripped. |
Move:  Close Combat | FIGHTING | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Reckless |  The user’s Defense and Special Defense are each lowered by -1 Combat Stage. |
Move:  Counter | FIGHTING | SCENE 2 | 0 | NON | PHYSICAL |  Melee, 1 Target, Reaction, Trigger |  Counter may be used as a Reaction when the user is hit by a damaging Physical Attack. Resolve the Triggering Attack, with Counter’s user resisting the attack one step further. After the attack is resolved, if Counter’s user was not Fainted, the triggering foe then loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack. Note that Counter is Physical, and while it cannot miss, it cannot hit targets immune to Fighting-Type Moves. |
Move:  Cross Chop | FIGHTING | SCENE 2 | 4 | DB10 | PHYSICAL |  Melee, 1 Target |  Cross Chop is a Critical Hit on 16+. |
Move:  Detect | FIGHTING | SCENE 0 | 0 | NON | STATUS |  Self, Interrupt, Shield, Trigger |  If the user is hit by a Move, the user may use Detect. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. |
Move:  Double Kick | FIGHTING | AW 0 | 3 | DB3 | PHYSICAL |  Melee, 1 Target, Double Strike |  None |
Move:  Drain Punch | FIGHTING | SCENE 2 | 2 | DB8 | PHYSICAL |  Melee, 1 Target, Aura |  After the target takes damage, the user gains HP equal to half of the damage they dealt to the target. |
Move:  Dynamic Punch | FIGHTING | AW 0 | 9 | DB10 | PHYSICAL |  Melee, 1 Target |  Dynamic Punch Confuses the target. Dynamic Punch ignores the target’s Evasion if they are Flanked. |
Move:  Final Gambit | FIGHTING | SCENE 0 | 2 | NON | SPECIAL |  Melee, 1 Target |  Final Gambit lowers the user to 0 Hit Points and causes them to Faint. Final Gambit then deals 1 point of damage to the target for every Hit Point lost by the user. Final Gambit does not cause items to activate. |
Move:  Flying Press | FIGHTING | EOT 0 | 3 | DB10 | PHYSICAL |  Melee, 1 Target, Dash |  Flying Press may deal Flying Type damage if the user wishes. |
Move:  Focus Blast | FIGHTING | SCENE 2 | 7 | DB12 | SPECIAL |  6, 1 Target, Smite, Aura |  Focus Blast lowers the target’s Special Defense 1 Combat Stage on 18+. |
Move:  Focus Punch | FIGHTING | SCENE 2 | 2 | DB15 | PHYSICAL |  Melee, 1 Target, Priority (Limited), Aura |  Use of Focus Punch must be declared as a Priority (Limited) action at the beginning of the round. Nothing happens at this time. At the end of the round, if the user hasn’t been hit by an attack dealing damage equal to at least 25% of the user’s Maximum Hit Points, the user may Shift and use Focus Punch. Focus Punch’s Frequency is not expended if it is negated by an attack. |
Move:  Force Palm | FIGHTING | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target, Aura |  Force Palm Paralyzes the target on 18+. |
Move:  Hammer Arm | FIGHTING | EOT 0 | 2 | DB10 | PHYSICAL |  Melee, 1 Target, Reckless |  The user lowers their Speed 1 Combat Stage. |
